Year,Month,Date,Brood,Male,Female,,,
2019,8,9,NA,4,0,,,
2019,8,10,A,1,2,,,
2019,8,10,B,1,2,,,
2019,8,15,NA,3,1,,,
2019,8,17,NA,1,1,,,
2019,8,21,A,2,1,,,
2019,8,21,B,3,4,,,
2019,8,22,NA,0,1,,,
2019,8,25,NA,4,7,,,
2019,8,26,NA,0,1,,,
2019,8,28,NA,4,3,,,
2019,9,3,NA,0,2,,,
2019,9,4,NA,4,3,,,
2019,9,7,NA,3,2,,,
2019,9,10,NA,0,4,,,
2019,9,11,A,1,0,,,
2019,9,11,B,1,2,,,
2019,9,13,NA,1,2,,,
2019,10,8,NA,2,1,,,
2019,10,9,A,2,1,,,
2019,10,9,B,1,1,,,
2019,10,10,A,2,0,,,
2019,10,10,B,2,1,,,
2019,10,10,C,0,1,,,
2019,10,14,A,0,3,,,
2019,10,14,B,1,2,,,
2019,10,14,C,3,3,,,
2019,10,17,NA,0,1,,,
2019,10,20,NA,3,0,,,
2019,10,21,A,1,1,,,
2019,10,21,B,1,0,,,
2019,10,24,NA,0,1,,,
2019,10,26,NA,1,2,,,
2019,10,30,NA,3,3,,,
2019,10,31,NA,2,2,,,
2019,11,2,A,2,1,,,
2019,11,2,B,3,1,,,
2019,11,4,NA,1,3,,,
2019,11,5,A,0,1,,,
2019,11,5,B,2,1,,,
2019,11,6,A,1,2,,,
2019,11,6,B,2,1,,,
2019,11,9,A,0,1,,,
2019,11,9,B,2,4,,,
2019,11,9,C,2,3,,,
2019,11,10,A,3,1,,,
2019,11,10,B,0,2,,,
2019,11,10,C,1,2,,,
2019,11,11,A,3,1,,,
2019,11,11,B,4,1,,,
2019,11,14,A,1,2,,,
2019,11,14,B,2,2,,,
2019,11,15,NA,0,1,,,
2019,11,16,NA,2,0,,,
2019,11,20,NA,1,1,,,
2019,11,21,NA,2,1,,,
2019,11,23,A,2,1,,,
2019,11,23,B,3,4,,,
2019,11,23,C,1,1,,,
2019,11,25,A,1,0,,,
2019,11,25,B,1,1,,,
2019,11,28,A,1,1,,,
2019,11,28,B,4,1,,,
2019,11,29,NA,1,2,,,
2019,11,30,A,3,1,,,
2019,11,30,B,2,0,,,
2019,11,30,C,2,5,,,
2019,12,1,A,2,0,,,
2019,12,1,B,3,5,,,
2019,12,2,A,1,3,,,
2019,12,2,B,2,2,,,
2019,12,4,NA,1,0,,,
2019,12,5,NA,2,7,,,
2019,12,10,NA,1,1,,,
2019,12,11,NA,2,0,,,
2019,12,13,NA,2,0,,,
2019,12,16,NA,1,1,,,
2019,12,18,A,1,0,,,
2019,12,18,B,1,3,,,
2019,12,20,NA,2,1,,,
2019,12,22,A,0,2,,,
2019,12,22,B,1,0,,,
2019,12,23,NA,1,1,,,
2019,12,26,NA,0,2,,,
2019,12,28,A,4,2,,,
2019,12,28,B,1,1,,,
2019,12,28,C,2,0,,,
2020,1,4,NA,0,1,,,
2020,1,12,NA,1,2,,,
2020,1,17,NA,6,2,,,
2020,1,18,NA,1,3,,,
2020,1,20,NA,0,2,,,
2020,1,23,NA,4,4,,,
2020,1,24,NA,1,0,,,
2020,1,25,NA,1,1,,,
2020,1,31,NA,2,3,,,
2020,2,5,NA,1,0,,,
2020,2,7,NA,6,3,,,
2020,2,8,NA,1,1,,,
2020,2,11,NA,1,0,,,
2020,2,13,NA,4,1,,,
2020,2,20,NA,0,1,,,
2020,2,22,NA,3,3,,,
2020,2,23,NA,0,2,,,
2020,2,24,A,1,0,,,
2020,2,24,B,3,3,,,
2020,2,26,A,2,6,,,
2020,2,26,B,1,2,,,
2020,2,27,NA,0,2,,,
2020,3,3,NA,3,3,,,
2020,3,14,NA,1,2,,,
2020,3,17,A,0,1,,,
2020,3,17,B,1,0,,,
2020,3,19,NA,3,2,,,
2020,3,20,NA,3,2,,,
2020,3,21,NA,1,3,,,
2020,3,24,NA,2,2,,,
2020,3,31,NA,0,2,,,
2020,4,3,NA,2,1,,,
2020,4,4,NA,1,4,,,
2020,4,5,A,1,3,,,
2020,4,5,B,1,4,,,
2020,4,6,NA,4,1,,,
2020,4,8,A,1,1,,,
2020,4,8,B,3,3,,,
2020,4,14,A,2,3,,,
2020,4,14,B,1,1,,,
2020,4,14,C,1,2,,,
2020,4,14,D,2,0,,,
2020,4,15,NA,3,3,,,
2020,4,21,NA,0,3,,,
2020,4,23,NA,3,2,,,
2020,4,25,A,1,2,,,
2020,4,25,B,2,1,,,
2020,4,27,NA,3,0,,,
2020,4,29,A,3,2,,,
2020,4,29,B,6,3,,,
2020,4,30,A,2,3,,,
2020,4,30,B,0,2,,,
2020,4,30,C,0,2,,,
2020,4,30,D,3,1,,,
2020,5,4,NA,1,1,,,
2020,5,5,NA,2,2,,,
2020,5,6,NA,1,3,,,
2020,5,10,A,3,3,,,
2020,5,10,B,0,1,,,
2020,5,11,A,2,2,,,
2020,5,11,B,1,0,,,
2020,5,12,A,1,0,,,
2020,5,12,B,0,1,,,
2020,5,14,NA,0,1,,,
2020,5,15,A,1,2,,,
2020,5,15,B,2,1,,,
2020,5,16,A,1,3,,,
2020,5,16,B,5,4,,,
2020,5,16,C,1,2,,,
2020,5,17,NA,2,2,,,
2020,5,18,NA,3,2,,,
2020,5,19,NA,3,3,,,
2020,5,20,A,1,0,,,
2020,5,20,B,1,3,,,
2020,5,21,NA,0,2,,,
2020,5,23,NA,1,0,,,
2020,5,24,NA,4,0,,,
2020,5,25,NA,0,2,,,
2020,5,28,NA,0,2,,,
2020,6,1,NA,1,1,,,
2020,6,5,NA,0,2,,,
2020,6,12,NA,2,1,,,
2020,6,13,NA,1,0,,,
2020,6,19,A,1,2,,,
2020,6,19,B,2,0,,,
2020,6,23,NA,1,1,,,
2020,6,24,NA,0,1,,,
2020,7,1,A,6,2,,,
2020,7,1,B,0,4,,,
2020,7,5,NA,3,1,,,
2020,7,13,NA,3,1,,,
2020,7,15,NA,2,4,,,
2020,8,4,NA,1,1,,,
2020,8,9,NA,1,2,,,
2020,8,13,NA,1,1,,,
2020,8,15,NA,1,0,,,
2020,8,22,NA,1,1,,,
2020,8,30,NA,0,1,,,
2020,9,3,NA,1,1,,,
2020,9,4,A,0,1,,,
2020,9,4,B,2,0,,,
2020,9,5,NA,1,1,,,
2020,9,7,NA,1,0,,,
2020,9,12,NA,2,0,,,
2020,9,13,NA,1,2,,,
2020,9,14,A,0,1,,,
2020,9,14,B,2,2,,,
2020,9,20,NA,2,0,,,
2020,9,24,NA,0,1,,,
2020,10,1,NA,1,3,,,
2020,10,2,NA,1,1,,,
2020,10,4,NA,0,1,,,
2020,10,7,NA,0,1,,,
2020,10,11,NA,2,1,,,
2020,10,17,NA,2,1,,,
2020,10,18,NA,3,1,,,
2020,10,28,A,2,4,,,
2020,10,28,B,1,4,,,
2020,10,29,NA,1,2,,,
2020,10,30,NA,2,3,,,
2020,10,31,NA,3,0,,,
2020,11,7,NA,0,3,,,
2020,11,8,NA,3,1,,,
2020,11,9,NA,2,2,,,
2020,11,10,NA,3,5,,,
2020,11,13,NA,3,3,,,
2020,11,14,A,3,0,,,
2020,11,14,B,1,0,,,
2020,11,14,C,1,0,,,
2020,11,17,A,3,1,,,
2020,11,17,B,1,0,,,
2020,11,18,NA,2,0,,,
2020,11,20,NA,1,2,,,
2020,11,23,NA,6,2,,,
2020,11,24,NA,3,2,,,
2020,11,30,A,2,1,,,
2020,11,30,B,2,1,,,
2020,11,30,C,0,1,,,
2020,12,6,NA,1,3,,,
2020,12,7,NA,1,3,,,
2020,12,16,NA,0,1,,,
2020,12,20,A,3,4,,,
2020,12,20,B,1,0,,,
2020,12,20,C,0,0,,,
2020,12,25,NA,0,1,,,
2020,12,30,NA,2,0,,,
2021,1,1,NA,2,0,,,
2021,1,4,NA,0,1,,,
2021,1,5,NA,0,1,,,
2021,1,12,NA,1,2,,,
2021,1,16,NA,1,6,,,
2021,1,20,NA,2,2,,,
2021,1,25,NA,3,0,,,
2021,2,4,NA,3,2,,,
2021,2,5,NA,1,3,,,
2021,2,10,NA,2,1,,,
2021,2,21,NA,0,2,,,
2021,2,24,NA,1,2,,,
2021,2,27,NA,1,1,,,
2021,3,1,NA,1,0,,,
2021,3,5,NA,2,2,,,
2021,3,3,NA,5,1,,,
2021,3,8,NA,0,4,,,
2021,3,10,NA,7,1,,,
2021,3,22,NA,4,5,,,
2021,3,23,NA,3,2,,,
2021,3,26,A,2,1,,,
2021,3,26,B,2,1,,,
2021,4,14,A,1,3,,,
2021,4,14,B,1,1,,,
2021,4,15,NA,1,1,,,
2021,4,23,NA,1,3,,,
2021,4,28,NA,1,0,,,
2021,5,3,A,1,4,,,
2021,5,3,B,1,0,,,
2021,5,5,NA,1,0,,,
2021,5,8,NA,5,1,,,
2021,5,10,NA,3,1,,,
2021,5,11,NA,0,1,,,
2021,5,14,NA,0,1,,,
2021,5,17,NA,1,0,,,
2021,5,18,NA,0,1,,,
2021,5,20,A,0,1,,,
2021,5,20,B,2,1,,,
2021,5,21,NA,1,3,,,
2021,5,22,NA,1,1,,,
2021,5,31,NA,2,4,,,
2021,6,1,NA,2,4,,,
2021,6,3,NA,1,3,,,
2021,6,4,NA,0,1,,,
2021,6,7,NA,1,2,,,
2021,6,9,NA,3,3,,,
2021,6,15,NA,0,1,,,
2021,6,16,NA,2,1,,,
2021,7,12,NA,2,3,,,
2021,8,13,NA,1,2,,,
2021,9,NA,NA,0,0,,,
2021,10,7,NA,0,1,,,
2021,10,10,NA,2,1,,,
2021,10,19,NA,0,1,,,
2021,11,3,A,1,0,,,
2021,11,3,B,0,1,,,
2021,11,4,A,1,3,,,
2021,11,4,B,3,1,,,
2021,11,5,NA,1,2,,,
2021,11,6,A,4,3,,,
2021,11,6,B,0,1,,,
2021,11,6,C,1,1,,,
2021,11,10,NA,3,2,,,
2021,11,12,NA,0,1,,,
2021,11,13,A,3,3,,,
2021,11,13,B,0,1,,,
2021,11,15,A,2,1,,,
2021,11,15,B,2,3,,,
2021,11,16,NA,2,2,,,
2021,11,17,A,1,0,,,
2021,11,17,B,0,2,,,
2021,11,17,C,1,5,,,
2021,11,26,NA,6,2,,,
2021,11,29,A,1,1,,,
2021,11,29,B,2,3,,,
2021,11,30,NA,1,1,,,
2021,12,2,A,5,2,,,
2021,12,2,B,1,0,,,
2021,12,4,NA,0,2,,,
2021,12,7,NA,1,1,,,
2021,12,8,NA,1,0,,,
2021,12,9,A,4,4,,,
2021,12,9,B,0,1,,,
2021,12,11,NA,2,2,,,
2021,12,12,NA,1,1,,,
2021,12,13,A,2,6,,,
2021,12,13,B,3,2,,,
2021,12,17,NA,0,3,,,
2021,12,18,NA,2,1,,,
2021,12,19,NA,3,3,,,
2021,12,22,NA,1,6,,,
2021,12,22,NA,0,2,,,
2021,12,23,NA,1,1,,,
2021,12,28,NA,0,1,,,
2022,1,6,A,0,2,,,
2022,1,6,B,1,0,,,
2022,1,6,C,1,1,,,
2022,1,13,NA,1,0,,,
2022,1,17,A,2,1,,,
2022,1,17,B,0,2,,,
2022,2,1,NA,0,4,,,
2022,2,10,NA,2,2,,,
2022,2,21,NA,2,3,,,
2022,3,9,NA,1,0,,,
2022,3,10,NA,1,1,,,
2022,3,13,NA,1,1,,,
2022,4,NA,NA,0,0,,,
2022,5,16,NA,2,1,,,
2022,6,8,NA,2,0,,,
2022,6,8,NA,1,2,,,
2022,7,7,NA,2,0,,,
2022,8,16,NA,0,2,,,
2022,8,18,NA,0,2,,,
2022,8,23,NA,5,2,,,
2022,8,24,NA,1,0,,,
2022,8,25,NA,1,0,,,
2022,8,28,A,0,4,,,
2022,8,28,B,1,0,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
